bug,baseline,status,attempts_used,llm_calls,total_tokens,time_sec,failing_before,failing_after
Lang_1,agentless,unrepaired,5,5,17241,545.2,2,N/A
Lang_1,claude_code,unrepaired,4,15,20470,493.0,2,N/A
Lang_1,cot,unrepaired,5,5,22080,1126.3,3,N/A
Lang_1,few_shot_cot,unrepaired,5,5,21416,743.6,2,N/A
Lang_1,function_calling,repaired,1,1,2711,114.5,2,0
Lang_1,got,unrepaired,5,5,16360,893.9,2,N/A
Lang_1,openclaw,unrepaired,5,10,25356,1149.5,2,N/A
Lang_1,openhands,unrepaired,4,15,13403,344.0,2,N/A
Lang_1,pot,unrepaired,5,8,23035,715.6,2,N/A
Lang_1,react,unrepaired,5,7,18106,612.3,2,N/A
Lang_1,reflexion,repaired,2,2,6757,490.9,2,0
Lang_1,self_consistency,repaired,1,4,8875,391.9,2,0
Lang_1,standard,repaired,1,1,3282,135.9,2,0
Lang_1,swe_agent,unrepaired,4,15,19267,448.0,2,N/A
Lang_1,tot,unrepaired,4,15,37413,1520.1,3,N/A
Lang_1,zero_shot_cot,unrepaired,5,10,22731,1065.4,3,N/A
Lang_5,agentless,unrepaired,5,5,16795,732.7,2,N/A
Lang_5,claude_code,unrepaired,4,15,32952,767.0,2,N/A
Lang_5,cot,unrepaired,5,5,18319,1157.3,2,N/A
Lang_5,few_shot_cot,unrepaired,5,5,20311,931.0,2,N/A
Lang_5,function_calling,unrepaired,5,5,11868,804.5,2,N/A
Lang_5,got,unrepaired,5,5,12695,106.9,2,N/A
Lang_5,openclaw,unrepaired,5,10,17995,1031.7,2,N/A
Lang_5,openhands,unrepaired,4,15,32535,858.1,2,N/A
Lang_5,pot,unrepaired,5,8,18411,339.5,2,N/A
Lang_5,react,unrepaired,5,10,19468,766.0,2,N/A
Lang_5,reflexion,unrepaired,5,5,12463,879.3,2,N/A
Lang_5,self_consistency,unrepaired,5,15,27851,188.5,2,N/A
Lang_5,standard,unrepaired,5,5,13860,633.8,2,N/A
Lang_5,swe_agent,unrepaired,4,15,24561,520.1,2,N/A
Lang_5,tot,unrepaired,4,15,30701,166.4,2,N/A
Lang_5,zero_shot_cot,unrepaired,5,10,18570,1176.9,2,N/A
Math_1,agentless,unrepaired,5,5,13833,638.9,2,N/A
Math_1,claude_code,unrepaired,4,15,35135,699.5,2,N/A
Math_1,cot,unrepaired,5,5,15792,1020.2,2,N/A
Math_1,few_shot_cot,unrepaired,5,5,18149,926.2,2,N/A
Math_1,function_calling,unrepaired,5,5,8811,571.9,2,N/A
Math_1,got,unrepaired,5,5,11365,970.5,2,N/A
Math_1,openclaw,unrepaired,5,10,12380,907.1,2,N/A
Math_1,openhands,repaired,2,10,23213,600.0,2,0
Math_1,pot,unrepaired,5,8,15597,717.6,2,N/A
Math_1,react,unrepaired,5,15,24068,814.1,2,N/A
Math_1,reflexion,unrepaired,5,5,8464,490.5,2,N/A
Math_1,self_consistency,unrepaired,4,15,23923,1548.1,2,N/A
Math_1,standard,unrepaired,5,5,11664,634.4,2,N/A
Math_1,swe_agent,unrepaired,4,15,22216,321.1,2,N/A
Math_1,tot,unrepaired,4,15,27492,1490.7,2,N/A
Math_1,zero_shot_cot,unrepaired,5,10,18813,1078.0,2,N/A
